,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
26,26,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,960 sqft,"25,000"," Mantri Celestia, Gachibowli, Outer Ring Road ",500032
27,27,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1650 sqft,"27,000", Kondapur ,No code
28,28,2 BHK Builder Floor,2,Semi-Furnished,Family,1150 sqft,"12,500"," Dullapally, NH ",No code
29,29,2 BHK Apartment,1,Unfurnished,Bachelors,810 sqft,"14,000"," Lingampally-Serilingampally, NH ",No code
30,30,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"11,000"," Bachupally, Outer Ring Road ",No code
31,31,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"11,000"," Bachupally, Outer Ring Road ",No code
32,32,3 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"13,500", Vista Homes,28208
33,33,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,"45,000"," Banjara Hills, NH ",500034
34,34,1 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"14,000"," Mythri Nagar, Hafeezpet, NH ",500049
35,35,3 BHK Service Apartment,1,Unfurnished,Family,1150 sqft,"11,000", Kapra ,No code
36,36,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"10,000", Bandlaguda Jagir ,No code
37,37,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1650 sqft,"24,000"," Domalguda, Himayath Nagar, NH ",500029
38,38,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2045 sqft,"45,000"," Financial District, Nanakram Guda ",500032
39,39,2 BHK Apartment,1,Furnished,Bachelors/Family,1175 sqft,"45,000", Madhapur ,No code
40,40,3 BHK Apartment,2,Semi-Furnished,Family,2700 sqft,"45,000"," Kokapet, Outer Ring Road ",No code
41,41,2 BHK Apartment,North,Unfurnished,Family,1200 sqft,"18,000", chandrayangutta hyderabad ,No code
42,42,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1330 sqft,"20,000", K P H B Phase ,No code
43,43,3 BHK Apartment,1,Furnished,Bachelors/Family,1800 sqft,"44,000", Himayatnagar ,No code
44,44,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,"33,000"," Alkapur Township, Manikonda, Outer Ring Road ",No code
45,45,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1600 sqft,"30,000"," Chandanagar, NH ",500050
46,46,2 BHK Builder Floor,1,Unfurnished,Family,1050 sqft,"20,020"," Rajarajeshwari Nagar, Kondapur ",500084
