,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
0,3 BHK Service Apartment,1,Unfurnished,Bachelors,1390 sqft,"26,000"," Hafeezpet, NH "
1,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"14,000", Amarnath Residency
2,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"35,000", Nanakram Guda 
3,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1200 sqft,"22,000", Jubilee Hills 
4,2 BHK Apartment,1,Unfurnished,Bachelors,1295 sqft,"27,000"," Chandanagar, NH "
5,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,"30,000", Gopanapalli 
6,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,"49,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
7,2 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"8,000", Eastend Colony
8,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1339 sqft,"22,000", Tolichowki 
9,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"22,000"," Narsingi, Outer Ring Road "
10,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2240 sqft,"20,000", Osman Nagar 
11,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1616 sqft,"32,000"," Vidyanagar, Adikmet "
12,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1278 sqft,"35,000"," Kukatpally Housing Board Colony, NH "
13,3 BHK Apartment,1,Semi-Furnished,Bachelors,2540 sqft,"45,000"," Narsingi, Outer Ring Road "
14,3 BHK Builder Floor,1,Unfurnished,Bachelors,1550 sqft,"28,000", Puppalaguda 
15,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1834 sqft,"37,000"," My Home Avatar, Narsingi, Outer Ring Road "
16,3 BHK Apartment,1,Semi-Furnished,Bachelors,1575 sqft,"33,000"," Lanco Hills, Manikonda, Outer Ring Road "
17,Studio Apartment,East,Furnished,Bachelors/Family,read more,"10,000", Gachibowli
18,3 BHK Builder Floor,North - East,Furnished,Bachelors,2400 sqft,"25,000", Yapral 
19,2 BHK Apartment,1,Furnished,Bachelors/Family,1250 sqft,"26,000"," Aditya Imperial Heights, Hafeezpet, NH "
20,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,750 sqft,"10,000"," Sai Ram Nagar Colony, Champapet, Koti "
21,2 BHK Apartment,2,Unfurnished,Bachelors/Family,950 sqft,"30,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
22,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"8,000"," Kistareddypet, Outer Ring Road "
23,3 BHK Apartment,2,Semi-Furnished,Family,1750 sqft,"15,000"," Gks Habitat Royale, Yapral "
24,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,"30,000"," Bikshapathi Nagar, Hafeezpet "
25,3 BHK Apartment,East,Semi-Furnished,Family,2025 sqft,"28,000"," Floatilla, Alkapur Township, Manikonda, Outer Ring Road "
26,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,960 sqft,"25,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
27,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1650 sqft,"27,000", Kondapur 
28,2 BHK Builder Floor,2,Semi-Furnished,Family,1150 sqft,"12,500"," Dullapally, NH "
29,2 BHK Apartment,1,Unfurnished,Bachelors,810 sqft,"14,000"," Lingampally-Serilingampally, NH "
30,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"11,000"," Bachupally, Outer Ring Road "
31,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"11,000"," Bachupally, Outer Ring Road "
32,3 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"13,500", Vista Homes
33,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,"45,000"," Banjara Hills, NH "
34,1 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"14,000"," Mythri Nagar, Hafeezpet, NH "
35,3 BHK Service Apartment,1,Unfurnished,Family,1150 sqft,"11,000", Kapra 
36,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"10,000", Bandlaguda Jagir 
37,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1650 sqft,"24,000"," Domalguda, Himayath Nagar, NH "
38,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2045 sqft,"45,000"," Financial District, Nanakram Guda "
39,2 BHK Apartment,1,Furnished,Bachelors/Family,1175 sqft,"45,000", Madhapur 
40,3 BHK Apartment,2,Semi-Furnished,Family,2700 sqft,"45,000"," Kokapet, Outer Ring Road "
41,2 BHK Apartment,North,Unfurnished,Family,1200 sqft,"18,000", chandrayangutta hyderabad 
42,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1330 sqft,"20,000", K P H B Phase 
43,3 BHK Apartment,1,Furnished,Bachelors/Family,1800 sqft,"44,000", Himayatnagar 
44,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1200 sqft,"33,000"," Alkapur Township, Manikonda, Outer Ring Road "
45,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1600 sqft,"30,000"," Chandanagar, NH "
46,2 BHK Builder Floor,1,Unfurnished,Family,1050 sqft,"20,020"," Rajarajeshwari Nagar, Kondapur "
47,3 BHK Apartment,2,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
48,2 BHK Apartment,1,Unfurnished,Bachelors/Family,975 sqft,"12,000"," Mir Alam Tank, NH "
49,4 BHK Apartment,1,Semi-Furnished,Bachelors,2080 sqft,"20,000", Medchal Road 
50,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"45,000"," Banjara Hills, NH "
51,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"14,000", Kondapur
52,3 BHK Apartment,2,Unfurnished,Bachelors/Family,2500 sqft,"50,000"," Banjara Hills, NH "
53,4 BHK Apartment,1,Unfurnished,Bachelors/Family,2300 sqft,"18,000"," Peerzadiguda, NH "
54,1 BHK Builder Floor,1,Unfurnished,Bachelors,read more,"15,000", Kondapur
55,2 BHK Apartment,1,Unfurnished,Bachelors,1100 sqft,"24,000", Hakimpet-Hyderabad 
56,Studio Apartment,North,Furnished,Family,NaN,"14,000"," Banjara Hills, NH "
57,2 BHK Apartment,North,Unfurnished,Bachelors/Family,1000 sqft,"13,000"," Sitaphalmandi, Padmarao Nagar "
58,3 BHK Service Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"32,000"," Mohans Sai Signature, Nanakram Guda "
59,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"35,000"," Kokapet, Outer Ring Road "
60,3 BHK Apartment,3,Semi-Furnished,Family,1800 sqft,"32,000"," Khairatabad, NH "
61,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,2580 sqft,"48,000", Whitefields 
62,3 BHK Apartment,NaN,Bachelors/Family,3,1800 sqft,"25,000", Appa junction 
63,3 BHK Apartment,East,Semi-Furnished,Family,1550 sqft,"16,500"," Suvarna Valley, Miyapur, NH "
64,3 BHK Apartment,1,Semi-Furnished,Bachelors,1250 sqft,"13,000"," Sun City, Bandlaguda, Chevella Road "
65,2 BHK Builder Floor,2,Semi-Furnished,Family,1200 sqft,"20,000"," Nallagandla, Serilingampally "
66,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1440 sqft,"20,000"," Aparna Kanopy Tulip, Kompally "
67,3 BHK Apartment,2,Furnished,Bachelors,1610 sqft,"25,000", Raghuram A
68,1 BHK Builder Floor,1,Furnished,Bachelors/Family,East Facing Property,"18,000", Jubilee
69,3 BHK Builder Floor,2,Unfurnished,Bachelors,2000 sqft,"35,000"," Banjara Hills, NH "
70,3 BHK Apartment,3,Furnished,Bachelors/Family,2200 sqft,"48,000"," Green Habitat, Kondapur "
71,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1500 sqft,"25,000"," Kukatpally, NH "
72,3 BHK Apartment,1,Furnished,Bachelors/Family,1400 sqft,"18,000", Haripuri colony 
73,3 BHK Apartment,1,Semi-Furnished,Family,1500 sqft,"28,000"," Brindavan Residency, Domalguda, Himayath Nagar, NH "
74,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1750 sqft,"27,000"," Barkatpura, Kachiguda, NH "
75,3 BHK Apartment,1,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
76,Studio Apartment,Main Road,Furnished,Bachelors/Family,read more,"36,000", Kavuri Hills
77,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"28,000"," My Home Avatar, Narsingi, Outer Ring Road "
78,3 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,1300 sqft,"22,000"," Shankara Kranthi Apartment, Kavadiguda, NH "
79,3 BHK Apartment,2,Semi-Furnished,Family,1500 sqft,"22,000"," Hyder Nagar, NH "
80,2 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"26,000", Kondapur
81,3 BHK Apartment,2,Unfurnished,Bachelors,1825 sqft,"35,000"," Chandanagar, NH "
82,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1675 sqft,"35,000"," Srinagar Colony, Old Malakpet, NH "
83,2 BHK Apartment,2,Unfurnished,Bachelors,910 sqft,"20,000"," Old Nallakunta, New Nallakunta "
84,3 BHK Apartment,3,Unfurnished,Bachelors,2000 sqft,"20,000", Bandlaguda Jagir 
85,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000"," Srinivas Nagar, Rhoda Mistri Nagar "
86,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,"12,000", Shamshabad 
87,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1620 sqft,"25,000", Gajularamaram 
88,3 BHK Apartment,3,Semi-Furnished,Family,1480 sqft,"31,000"," Vertex Panache, Gachibowli, Outer Ring Road "
89,3 BHK Apartment,2,Unfurnished,Bachelors,3200 sqft,"45,000"," Sri Sairam Sharada, Banjara Hills, NH "
90,2 BHK Apartment,1,Semi-Furnished,Bachelors,975 sqft,"15,000"," Miyapur, NH "
91,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"12,000", Bikshapathi Nagar
92,3 BHK Apartment,2,Semi-Furnished,Bachelors,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
93,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,"16,500"," Gandhi Nagar, Kavadiguda, NH "
94,3 BHK Apartment,2,Unfurnished,Bachelors,1395 sqft,"15,000"," Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway "
95,3 BHK Apartment,2,Unfurnished,Bachelors,1925 sqft,"27,000"," Sri Nainas Sunrise, Manikonda, Outer Ring Road "
96,3 BHK Apartment,3,Semi-Furnished,Family,1860 sqft,"22,000"," NGRI, Secunderabad "
97,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"17,500", Mehdipatnam 
98,3 BHK Builder Floor,2,Semi-Furnished,Bachelors,1510 sqft,"12,000"," ARK Homes, Bolarum, Medchal Road "
99,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,100 sqyrd,"9,000", Narapally 
100,3 BHK Apartment,West,Semi-Furnished,Family,1414 sqft,"23,000"," RDB Coconut Grove, Miyapur, NH "
101,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1100 sqft,"13,000"," New Bowenpally, NH "
102,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1700 sqft,"18,000", Karwan 
103,4 BHK Builder Floor,1,Semi-Furnished,Bachelors,2300 sqft,"28,000"," Ramanthapur, NH "
104,3 BHK Apartment,2,Semi-Furnished,Family,3000 sqft,"45,000"," Hafeezpet, NH "
105,3 BHK Apartment,East,Unfurnished,Bachelors,1610 sqft,"11,000", Nizampet 
106,3 BHK Builder Floor,3,Unfurnished,Bachelors/Family,1630 sqft,"20,000"," Alkapuri, LB Nagar, NH "
107,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,915 sqft,"15,000"," Vidyanagar, Adikmet "
108,2 BHK Apartment,2,Unfurnished,Bachelors,1255 sqft,"17,000", Adibatla 
109,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1960 sqft,"32,000"," Aparna Sarovar Grande, Nallagandla, Serilingampally "
110,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1425 sqft,"15,000", Maruthi Nagar 
111,3 BHK Apartment,2,Unfurnished,Bachelors,read more,"45,000", Narsingi
112,3 BHK Apartment,1,Unfurnished,Bachelors,1835 sqft,"38,000"," My Home Avatar, Narsingi, Outer Ring Road "
113,Studio Apartment,East,Furnished,Bachelors/Family,read more,"25,000", Kondapur
114,3 BHK Apartment,East,Unfurnished,Bachelors/Family,1834 sqft,"36,000"," My Home Avatar, Narsingi, Outer Ring Road "
115,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1890 sqft,"22,000"," Swarnandhra Colony, Secunderabad "
116,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1745 sqft,"26,000"," Concrete Palazzo, Raghavendra Nagar-Nacharam "
117,3 BHK Apartment,West,Unfurnished,Bachelors,2490 sqft,"40,000"," Rajapushpa Atria, Gachibowli, Outer Ring Road "
118,4 BHK Apartment,1,Furnished,Bachelors/Family,East Facing Property,"35,000", Puppalaguda
119,3 BHK Apartment,2,Semi-Furnished,Family,1260 sqft,"18,000", Near Habsiguda Metro Station 
120,3 BHK Apartment,1,Semi-Furnished,Family,1610 sqft,"20,000"," Bommarillu Apartments, Manikonda, Outer Ring Road "
121,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"45,000"," D Address, Hitech City "
122,3 BHK Apartment,2,Furnished,Bachelors/Family,1680 sqft,"35,000"," Accurate Wind Chimes, Narsingi, Outer Ring Road "
123,3 BHK Apartment,2,Unfurnished,Bachelors,1990 sqft,"36,000"," Aditya Empress Towers, Shaikpet "
124,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"24,000"," Miyapur, NH "
125,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1750 sqft,"22,000"," Kalyan Puri, Secunderabad "
126,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"32,000"," Aparna Hill park Silver oaks, Bandam Kommu "
127,4 BHK Apartment,2,Unfurnished,Bachelors,2200 sqft,"48,000"," Gachibowli, Outer Ring Road "
128,3 BHK Apartment,1,Semi-Furnished,Bachelors,1100 sqft,"16,000", Sivaji Nagar-Chandanagar 
129,3 BHK Apartment,West,Furnished,Bachelors/Family,1468 sqft,"27,000"," Nallagandla, Serilingampally "
130,2 BHK Apartment,1,Semi-Furnished,Bachelors,1000 sqft,"11,500"," Beeramguda, Ramachandra Puram, NH "
131,4 BHK Apartment,2,Semi-Furnished,Family,2800 sqft,"50,000"," Kokapet, Outer Ring Road "
132,3 BHK Apartment,1,Unfurnished,Bachelors,1380 sqft,"30,000", Sai Aishwarya Layout-Manikonda 
133,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,"23,000"," Manikonda, Outer Ring Road "
134,3 BHK Apartment,2,Semi-Furnished,Family,1440 sqft,"30,000", Kondapur 
135,3 BHK Apartment,1,Semi-Furnished,Family,1834 sqft,"38,000"," My Home Avatar, Narsingi, Outer Ring Road "
136,3 BHK Apartment,4,Semi-Furnished,Family,2265 sqft,"36,000"," Rainbow Vistas Rock Gardens, Hitech City "
137,2 BHK Apartment,1,Unfurnished,Bachelors,1140 sqft,"11,500"," Beeramguda, Ramachandra Puram, NH "
138,3 BHK Apartment,1,Semi-Furnished,Family,1520 sqft,"17,500", Uppal Kalan 
139,3 BHK Apartment,1,Semi-Furnished,Bachelors,1750 sqft,"48,000"," Gachibowli, Outer Ring Road "
140,2 BHK Apartment,1,Unfurnished,Bachelors/Family,890 sqft,"8,000", Medipally 
141,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2160 sqft,"38,000"," Lodha Casa Paradiso, Sanath Nagar, NH "
142,3 BHK Apartment,2,Unfurnished,Family,1800 sqft,"32,000", 
143,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2245 sqft,"32,000"," Hafeezpet, NH "
144,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1700 sqft,"40,000"," Banjara Hills, NH "
145,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1200 sqft,"13,000"," Chatta Bazaar, Pathar Gatti "
146,3 BHK Builder Floor,2,Unfurnished,Bachelors,2000 sqft,"20,000", Hyderabad 
147,3 BHK Apartment,2,Furnished,Bachelors,1555 sqft,"30,000"," Bachupally, Outer Ring Road "
148,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1260 sqft,"20,000"," Upparpally, Hyderabad Expressway "
149,3 BHK Apartment,2,Unfurnished,Bachelors,1400 sqft,"17,500", Bandlaguda Jagir 
150,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1290 sqft,"15,000"," Amulya Heights, Kushaiguda "
151,3 BHK Builder Floor,East,Semi-Furnished,Bachelors,1710 sqft,"20,500"," Madinaguda, Hafeezpet, NH "
152,1 BHK Apartment,North,Unfurnished,Bachelors,read more,"13,000"," Anand Nagar-Khairatabad, NH "
153,2 BHK Builder Floor,North - East,Furnished,Bachelors/Family,1650 sqft,"18,000"," Godavari Homes, Quthbullapur "
154,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1135 sqft,"9,500"," Sadbhavana, Ghatkesar, NH "
155,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1915 sqft,"38,000"," Aditya Empress Towers, Shaikpet "
156,3 BHK Apartment,2,Semi-Furnished,Family,1875 sqft,"37,000"," Aditya Empress Towers, Shaikpet "
157,3 BHK Builder Floor,1,Furnished,Bachelors,1369 sqft,"40,000", Masab Tank 
158,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,"14,500", Puppalaguda 
159,2 BHK Apartment,1,Unfurnished,Bachelors/Family,800 sqft,"10,000", Attapur 
160,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2358 sqft,"35,000"," Pearl Celestial, Kokapet, Outer Ring Road "
161,2 BHK Builder Floor,1,Unfurnished,Family,900 sqft,"9,500", Bairagiguda 
162,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"35,000"," Aditya Empress Towers, Shaikpet "
163,3 BHK Apartment,East,Semi-Furnished,Family,1500 sqft,"17,500"," Kukatpally, NH "
164,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1843 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
165,3 BHK Apartment,2,Furnished,Bachelors/Family,1600 sqft,"35,000"," Bhavyas Tulasi Vanam, Kukatpally, NH "
166,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"11,000"," Miyapur, NH "
167,2 BHK Apartment,1,Unfurnished,Bachelors/Family,810 sqft,"13,000", Serilingampally 
168,2 BHK Apartment,1,Semi-Furnished,Family,1200 sqft,"17,000", Samathanagar Addagutta 
169,3 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1875 sqft,"37,000"," SM Plaza, ECIL "
170,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,"40,000"," Lacasa K Apartments, Banjara Hills, NH "
171,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2260 sqft,"28,000"," Nallagandla, Serilingampally "
172,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"15,000", Gayathri Nagar 
173,3 BHK Apartment,3,Furnished,Family,2170 sqft,"24,000"," SMR Vinay Harmony County, Appa junction "
174,3 BHK Apartment,2,Unfurnished,Family,1400 sqft,"19,000"," Manikonda, Outer Ring Road "
175,3 BHK Apartment,3,Unfurnished,Bachelors,1460 sqft,"17,000"," Pragathi Nagar, Kukatpally "
176,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"20,000"," LB Nagar, NH "
177,3 BHK Apartment,1,Unfurnished,Family,1425 sqft,"22,000"," Kokapet, Outer Ring Road "
178,1 BHK Builder Floor,East,Semi-Furnished,Family,East Facing Property,"12,000", Shaikpet
179,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,"35,000"," Kukatpally Housing Board Colony, NH "
180,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1960 sqft,"36,000"," Aparna CyberLife, Nallagandla, Serilingampally "
181,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2072 sqft,"28,000"," Jeedimetla, NH "
182,4 BHK Apartment,1,Semi-Furnished,Bachelors,2200 sqft,"46,000"," Ashoka Liviano, Gachibowli, Outer Ring Road "
183,3 BHK Apartment,2,Unfurnished,Bachelors,1950 sqft,"35,000"," Hafeezpet, NH "
184,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"33,000"," My Home Avatar, My home avatar "
185,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000"," Trendset Winz, Gachibowli, Outer Ring Road "
186,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,"41,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
187,3 BHK Apartment,2,Unfurnished,Bachelors,1490 sqft,"25,000"," Infocity Excellence and Elegance, Nallagandla, Serilingampally "
188,3 BHK Apartment,2,Semi-Furnished,Family,1330 sqft,"19,000"," Tilak Nagar, New Nallakunta, NH "
189,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,1000 sqft,"9,500"," Hyder Shah Kote, Chevella Road "
190,2 BHK Apartment,1,Furnished,Bachelors/Family,1350 sqft,"12,000"," Bachupally, Outer Ring Road "
191,2 BHK Apartment,2,Semi-Furnished,Family,1476 sqft,"35,000"," Lodha Meridian, Malaysian Township, Kukatpally "
192,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,"26,500"," Aditya Imperial Heights, Hafeezpet, NH "
193,3 BHK Apartment,1,Furnished,Bachelors/Family,1733 sqft,"25,000"," Indralok Complex, Banjara Hills, NH "
194,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"15,000"," Aarambh Township, Chandanagar, NH "
195,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,"27,000", Kondapur 
196,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"16,500", Puppalaguda 
197,3 BHK Apartment,1,Semi-Furnished,Family,1720 sqft,"30,000"," Accurate Wind Chimes, Narsingi, Outer Ring Road "
198,3 BHK Apartment,2,Semi-Furnished,Bachelors,1908 sqft,"38,000"," SMR Vinay Iconia, Kondapur "
199,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1575 sqft,"21,000"," Miyapur, NH "
200,2 BHK Builder Floor,West,Semi-Furnished,Bachelors/Family,882 sqft,"8,000"," Boduppal, NH "
201,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1580 sqft,"35,000"," Rainbow Vistas, Hitech City "
202,2 BHK Apartment,1,Semi-Furnished,Bachelors,1100 sqft,"22,000", Rajiv gandhi Nagar-Gachibowli 
203,3 BHK Apartment,2,Semi-Furnished,Bachelors,1450 sqft,"32,000"," Kavuri Hills, Madhapur "
204,3 BHK Apartment,Same Premise,Family,2,1040 sqft,"14,200", Toli Chowki 
205,3 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,"21,000"," Silicon Ridge, Attapur "
206,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1550 sqft,"13,000"," Gks Habitat Royale, Yapral "
207,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1640 sqft,"18,000"," Kukatpally Housing Board Colony, NH "
208,1 BHK Builder Floor,North - East,Semi-Furnished,Bachelors/Family,Near Indian Oil Petrol bunk,"25,000", Bhavani
209,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,"15,500", Brindavan Colony-Toli Chowki 
210,2 BHK Apartment,1,Furnished,Family,1320 sqft,"35,000"," Empress Heights, Jubilee Hills "
211,3 BHK Apartment,2,Furnished,Bachelors/Family,1700 sqft,"27,000", Attapur 
212,3 BHK Apartment,2,Semi-Furnished,Family,1000 sqft,"18,500", Mayur Marg 
213,3 BHK Apartment,2,Semi-Furnished,Family,2000 sqft,"25,000", Suchitra Circle 
214,2 BHK Apartment,3,Furnished,Bachelors/Family,1400 sqft,"27,000", Masab Tank 
215,3 BHK Apartment,1,Furnished,Bachelors/Family,1198 sqft,"36,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
216,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"36,000"," SMR Vinay Symphony, Gachibowli, Outer Ring Road "
217,3 BHK Apartment,1,Semi-Furnished,Bachelors,1769 sqft,"40,000"," Project Hill Ridge Springs, Gachibowli, Outer Ring Road "
218,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000"," NSK Exotica, Kukatpally, NH "
219,3 BHK Apartment,2,Semi-Furnished,Family,1760 sqft,"30,000"," Sri Ram Nagar Colony, Banjara Hills "
220,2 BHK Apartment,1,Unfurnished,Bachelors,130 sqft,"5,000", Badangpet 
221,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,"40,000"," Gachibowli, Outer Ring Road "
222,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1870 sqft,"35,000"," Sumukhi Orbit, Madhapur "
223,2 BHK Apartment,2,Semi-Furnished,Family,1350 sqft,"16,000"," Manjeera Heights, LB Nagar, NH "
224,5 BHK Apartment,2,Semi-Furnished,Bachelors/Family,4000 sqft,"40,000"," My Nest Mahati, Kondapur "
225,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,"15,000", Riyasat Nagar 
226,3 BHK Apartment,1,Semi-Furnished,Bachelors,1400 sqft,"40,000"," ACE Atlantis, Khaja Guda, Outer Ring Road "
227,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1690 sqft,"40,000"," My Home Vihanga, Gachibowli, Outer Ring Road "
228,3 BHK Apartment,2,Unfurnished,Bachelors,1362 sqft,"26,000", Toli Chowki 
229,3 BHK Apartment,2,Unfurnished,Bachelors,1875 sqft,"45,000"," Aditya Empress Towers, Shaikpet "
230,3 BHK Apartment,NaN,Bachelors/Family,3,2200 sqft,"26,000", Attapur 
231,4 BHK Apartment,1,Furnished,Family,3000 sqft,"36,000", Puppalaguda 
232,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1250 sqft,"10,000"," Bachupally, Outer Ring Road "
233,2 BHK Apartment,1,Unfurnished,Bachelors,950 sqft,"35,000", Shaikpet 
234,3 BHK Apartment,3,Semi-Furnished,Bachelors,2160 sqft,"40,000"," Rainbow Vistas Rock Gardens, Hitech City "
235,3 BHK Apartment,2,Semi-Furnished,Family,1440 sqft,"16,000", Maruthi Nagar-Dr A.S. Rao Nagar 
236,3 BHK Builder Floor,2,Furnished,Bachelors/Family,1800 sqft,"34,000"," Bhagyalaxmi Nagar, Kavadiguda "
237,2 BHK Apartment,2,Furnished,Family,1300 sqft,"18,000", Nizampet 
238,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1250 sqft,"15,500"," Manikonda, Outer Ring Road "
239,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"42,000"," Gachibowli, Outer Ring Road "
240,1 BHK Apartment,1,Unfurnished,Bachelors,NaN,"7,000"," Peerzadiguda, NH "
241,2 BHK Apartment,1,Unfurnished,Bachelors,1100 sqft,"11,000"," Rajendra Nagar, Outer Ring Road "
