,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
770,2 BHK Penthouse,East,Furnished,Bachelors/Family,1800 sqft,"26,000"," Somajiguda, NH "
771,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,"25,000", New Nallakunta 
772,2 BHK Apartment,2,Furnished,Bachelors/Family,950 sqft,"13,500", Hyderguda 
773,2 BHK Apartment,1,Semi-Furnished,Bachelors,1050 sqft,"18,000"," Miyapur, NH "
774,3 BHK Apartment,3,Unfurnished,Bachelors/Family,1275 sqft,"18,000", Boiguda 
775,3 BHK Apartment,2,Semi-Furnished,Bachelors,1480 sqft,"23,000"," Manjeera Diamond Towers, Gachibowli, Outer Ring Road "
776,2 BHK Builder Floor,From Dec '19,Furnished,Bachelors/Family,1100 sqft,"16,500", Kompally 
777,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,600 sqft,"6,500"," Moula Ali, Moula Ali Road "
778,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1210 sqft,"28,000"," Mantri Celestia, Gachibowli, Outer Ring Road "
779,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,"36,000"," Aparna CyberLife, Nallagandla, Serilingampally "
780,1 BHK Apartment,1,Unfurnished,Bachelors,East Facing Property,"13,000", Kondapur
781,3 BHK Apartment,1,Furnished,Bachelors/Family,1750 sqft,"40,000"," MLA Colony, Banjara Hills "
782,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"18,000", Jubilee Hills 
783,3 BHK Builder Floor,3,Semi-Furnished,Bachelors/Family,1850 sqft,"30,000", East Marredpally 
784,2 BHK Apartment,2,Unfurnished,Bachelors/Family,900 sqft,"9,000", Mehdipatnam 
785,3 BHK Apartment,2,Furnished,Bachelors/Family,1500 sqft,"45,000", Masab Tank 
786,1 BHK Apartment,East,Unfurnished,Bachelors,East Facing Property,"5,500"," Annojiguda, NH "
787,3 BHK Apartment,2,Unfurnished,Bachelors,2430 sqft,"48,000"," P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
788,1 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"10,000"," Kukatpally Project, Kukatpally, NH "
789,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"25,000"," Barkatpura, Kachiguda, NH "
790,2 BHK Apartment,1,Semi-Furnished,Bachelors,1000 sqft,"15,000"," Gachibowli, Outer Ring Road "
791,2 BHK Apartment,East,Unfurnished,Bachelors,1000 sqft,"10,000", Gokul Nagar-Tarnaka 
792,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1000 sqft,"17,000", Madhapur 
793,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,"24,000"," Vertex Pleasant, Kukatpally, NH "
794,2 BHK Apartment,2,Unfurnished,Family,1200 sqft,"13,000", Nizampet 
795,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1933 sqft,"15,000"," Modi Splendour, Kukatpally, NH "
796,3 BHK Apartment,Immediately,Family,3,1500 sqft,"16,000"," Habsiguda, NH "
797,3 BHK Apartment,2,Furnished,Bachelors/Family,1100 sqft,"13,000"," Janapriya Lakefront, Sainikpuri "
798,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1198 sqft,"34,000", Nanakram Guda 
799,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,NaN,"5,000", Shamshabad
800,1 BHK Builder Floor,North,Semi-Furnished,Bachelors/Family,read more,"10,000", Moti Nagar RWA
801,3 BHK Apartment,1,Unfurnished,Family,2055 sqft,"20,000"," Tellapur, Outer Ring Road "
802,3 BHK Apartment,1,Semi-Furnished,Bachelors,1700 sqft,"30,000"," Ameerpet, NH "
803,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1400 sqft,"15,000", NGO Colony 
804,3 BHK Apartment,2,Unfurnished,Bachelors,1875 sqft,"37,000"," Aditya Empress Towers, Shaikpet "
805,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1346 sqft,"45,000"," Prestige Ivy League, Hitech City "
806,3 BHK Apartment,2,Unfurnished,Bachelors,1915 sqft,"30,000"," Alkapur Township, Manikonda, Outer Ring Road "
